INFO 2020-09-11 04:22:40,139 basehttp 154 "GET /admin/jsi18n/ HTTP/1.1" 200 3223
INFO 2020-09-11 04:22:53,356 basehttp 154 "GET /users/index/ HTTP/1.1" 200 14115
INFO 2020-09-11 04:22:53,407 basehttp 154 "GET /users/index/company/structure/ HTTP/1.1" 200 15576
WARNING 2020-09-11 04:22:53,420 log 228 Not Found: /users/index/js/navtab.js
WARNING 2020-09-11 04:22:53,420 basehttp 154 "GET /users/index/js/navtab.js HTTP/1.1" 404 2822
INFO 2020-09-11 04:22:54,299 basehttp 154 "GET /users/index/ HTTP/1.1" 200 14115
WARNING 2020-09-11 04:22:54,336 log 228 Not Found: /users/index/js/navtab.js
WARNING 2020-09-11 04:22:54,336 basehttp 154 "GET /users/index/js/navtab.js HTTP/1.1" 404 2822
INFO 2020-09-11 04:22:54,409 basehttp 154 "GET /users/index/company/structure/ HTTP/1.1" 200 15576
INFO 2020-09-11 04:22:59,933 basehttp 154 "GET /users/index/company/detail/ HTTP/1.1" 200 4606
INFO 2020-09-11 04:23:01,272 basehttp 154 "GET /users/index/company/structure/ HTTP/1.1" 200 15576
INFO 2020-09-11 04:23:03,229 basehttp 154 "GET /users/index/company/position/ HTTP/1.1" 200 9350
WARNING 2020-09-11 04:23:03,323 log 228 Not Found: /users/index/json/newsList.json
WARNING 2020-09-11 04:23:03,323 basehttp 154 "GET /users/index/json/newsList.json HTTP/1.1" 404 2840
INFO 2020-09-11 04:23:05,464 basehttp 154 "GET /users/index/company/structure/ HTTP/1.1" 200 15576
INFO 2020-09-11 04:23:11,859 basehttp 154 "GET /admin/users/user/add/ HTTP/1.1" 200 7929
INFO 2020-09-11 04:23:11,896 basehttp 154 "GET /admin/jsi18n/ HTTP/1.1" 200 3223
INFO 2020-09-11 04:23:28,566 basehttp 154 "POST /admin/users/user/add/ HTTP/1.1" 302 0
INFO 2020-09-11 04:23:28,613 basehttp 154 "GET /admin/users/user/ HTTP/1.1" 200 5009
INFO 2020-09-11 04:23:28,686 basehttp 154 "GET /admin/jsi18n/ HTTP/1.1" 200 3223
INFO 2020-09-11 04:23:56,369 basehttp 154 "GET /admin/users/user/add/ HTTP/1.1" 200 7929
INFO 2020-09-11 04:23:56,415 basehttp 154 "GET /admin/jsi18n/ HTTP/1.1" 200 3223
INFO 2020-09-11 04:24:09,630 basehttp 154 "POST /admin/users/user/add/ HTTP/1.1" 302 0
INFO 2020-09-11 04:24:09,676 basehttp 154 "GET /admin/users/user/ HTTP/1.1" 200 5234
INFO 2020-09-11 04:24:09,770 basehttp 154 "GET /admin/jsi18n/ HTTP/1.1" 200 3223
INFO 2020-09-11 04:24:33,406 basehttp 154 "GET /admin/ HTTP/1.1" 200 8462
INFO 2020-09-11 04:24:35,802 basehttp 154 "GET /admin/companyInfo/position/ HTTP/1.1" 200 5369
INFO 2020-09-11 04:24:35,844 basehttp 154 "GET /admin/jsi18n/ HTTP/1.1" 200 3223
INFO 2020-09-11 04:24:38,737 basehttp 154 "GET /admin/ HTTP/1.1" 200 8462
INFO 2020-09-11 04:24:40,121 basehttp 154 "GET /admin/companyInfo/department/ HTTP/1.1" 200 4424
INFO 2020-09-11 04:24:40,153 basehttp 154 "GET /admin/jsi18n/ HTTP/1.1" 200 3223
INFO 2020-09-11 04:24:41,931 basehttp 154 "GET /admin/companyInfo/department/add/ HTTP/1.1" 200 7553
INFO 2020-09-11 04:24:41,974 basehttp 154 "GET /admin/jsi18n/ HTTP/1.1" 200 3223
